SBA FRANCHISE IDENTIFIER CODE|BRAND|MEETS FTC DEFINITION OF A FRANCHISE?|IS AN  ADDENDUM NEEDED?|SBA ADDENDUM - Form 2462|SBA NEGOTIATED ADDENDUM|SBA FRANCHISE IDENTIFIER CODE Start Date|ZXA4
S2464|Conserva Irrigation|Y|Y|Y|N|1/30/2018|
S0417|Conspire!|Y|Y|Y|N|10/1/2017|
|Construction Specialties - Sales Agency Agreement|N|N|||8/26/2021|
|Contender Boats, Inc. - Dealership Agreement|N|N|||8/26/2021|
S3873|Contender eSports|Y|Y|Y|N|2/12/2019|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Collateral Assignment of Lease may not be executed.
|Continental Casualty Company - Producer Agreement|N|N|||5/29/2018|
|Continental Western Insurance Company - Agency Agreement|N|N|||2/11/2020|
S6697|Contract for Sale of AMT 5000 Seal Coat Mini-Plant and Non-Exclusive License to Pitch Black Asphalt Sealant Formula|Y|Y|Y|N|7/8/2021|
S0418|Cookie Advantage|Y|Y|Y|N|10/1/2017|
S0419|Cookie Cutters Haircuts for Kids|Y|Y||Y|10/1/2017|
S3573|Cookie Dough Bliss|Y|Y|Y|N|10/10/2018|
S6481|Cookie Dough Magic|Y|Y|Y|N|4/8/2021|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Rider to Lease Agreement  may not be executed.
S3972|Cookies by Design|Y|Y|Y|N|3/11/2019|
S5960|Cookies N Cream|Y|Y|Y|N|9/18/2020|No attornment documents may be executed.
S0420|Cool Beans Indoor Playground & Cafe|Y|Y||Y|10/1/2017|
S5194|Cool Cuts 4 Kids|Y|Y|N|Y|4/17/2020|Only the Negotiated Addendum may be used.  When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Addendum and the Cool Cuts 4 Kids Sublease may not be executed.
S0323|COOL CYCLES ICE CREAM CO.|Y|Y|Y|N|10/1/2017|
S0421|Cool Hand Luke's Steakhouse/Saloon|Y|Y|Y|N|10/1/2017|
S2160|Coolgreens|Y|Y|Y|N|10/1/2017|
|Coolsculpting - Master Sales Agreement|N|N|||4/9/2019|
|Cooper's Express - Supply Agreement|N|N|||5/14/2021|
S0422|Copeland's of New Orleans|Y|Y|Y|N|10/1/2017|
S3558|COPPER BRANCH|Y|Y|Y|N|10/10/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Tri-Party Agreement and Sublease may not be executed.
|Copystar (Kyocera Technology) - Dealer Agreement by Product Group|N|N|||4/10/2018|
S6744|Coratel Inn & Suites|Y|Y|Y|N|7/29/2021|If Applicant also operates under a management agreement with a third party, Lender/CDC must review the management agreement in accordance with SOP 50 10 to determine if there is affiliation between the Applicant and the management company. The Applicant is not eligible if the management company is, or is affiliated with, the franchisor.
S4249|Corcoran®|Y|Y|Y|N|6/7/2019|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with the SOP 50 10.
S2512|Core CapacityTransformations|Y|Y|Y|N|1/30/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Collateral Assignment of Lease document may not be executed
S2346|Core Progression Elite Personal Training|Y|Y|Y|N|1/1/2018|
S2469|CoreLife Eatery|Y|Y|Y|N|1/30/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Addendum may not be executed.
S5218|CorePower Yoga|Y||||4/17/2020|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S6401|Corks 'N Crafts|Y|Y|Y|N|3/9/2021|1. When the real estate where the franchise business is located will secure the SBA-guaranteed loan, neither the Addendum to Lease nor the Collateral Assignment of Lease may be used.  2. Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10.
S4086|Corky's Ribs & BBQ|Y|Y||Y|4/9/2019|
S4254|Corlate®|Y|Y|Y|N|6/7/2019|1.  If the Applicant also operates under a management agreement with a third party, Lender/CDC must review the management agreement in accordance with SOP 50 10 to determine is there is affiliation between the Applicant and the management company. The Applicant is not eligible if the management company is, or is affiliated with, the franchisor. 2. When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Addendum may not be executed.
S0423|Corner Bakery Cafe|Y|Y||Y|10/1/2017|
S0424|Cornwell Quality Tools|Y|Y|Y|N|10/1/2017|
S0425|Corporate Caterers|Y|Y||Y|10/1/2017|
S2628|Corporate Cleaning Group|Y|Y|Y|N|2/21/2018|
S3658|Corrigan Oil II, Inc. -  Product Supply Agreement|Y|Y|Y|N|11/6/2018|Distributor may not file anything against the SBA Collateral Real Estate with the exception of a Mortgage/Deed of Trust or a UCC (Fixtures) Financing Statement (Purchase Money Security Interest) for money advanced by Distributor for site operations or improvements, which, except for the UCC PMSI and fixture filing, must be subordinate to the SBA financing.
S0426|Cosi|Y|Y|Y|N|10/1/2017|
S0324|COSMIKIDS|Y|Y|Y|N|10/1/2017|
S2161|Cost Cutters|Y|Y|Y|N|10/1/2017|
S6450|Costa Oil|Y|Y|Y|N|3/31/2021|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Rider to Lease Agreement and Sublease may not be executed.
S0427|Costa Vida Fresh Mexican Grill|Y|Y||Y|10/1/2017|
S0428|Cottage Inn Pizza|Y|Y||Y|10/1/2017|
S3959|Cottam Oil Company - Fuel Distribution Agreement|Y|N|||3/11/2019|Distributor may not file anything against the SBA Real Estate Collateral 
S0429|Cottman Transmission and Total Auto Care|Y|Y||Y|10/1/2017|
|Cottman Transmission Systems, Inc. Form Limited License Agreement|N|N|||4/19/2021|
S4920|Cougar Oil, Inc. - Wholesale Supply and Sales Agreement|Y|Y|Y|N|3/3/2020|Distributor may not file anything against the SBA Real Estate Collateral 
|Coulson Oil Company Inc. - Commercial Unbranded Motorfuel Supply Agreement|N|N|||8/6/2019|
|Coulson Oil Company Inc. - Commercial Unbranded Motorfuel Supply Agreement (with Superstop Image)|N|N|||8/6/2019|
S6111|Count Junkula|Y|Y|Y|N|11/23/2020|1. When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Rider may not be executed. 2. Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10.
|Country Financial  - Corporate Agent's Agreement|N|N|||4/19/2021|
|Country Financial - Limited Liability Company Agent's Agreement|N|N|||4/19/2021|
|Country Financial – Agent Agreement|N|N|||4/19/2021|
S0430|Country Hearth Inn|Y|Y|Y|N|10/1/2017|If Applicant also operates under a management agreement with a third party, Lender/CDC must review the management agreement in accordance with SOP 50 10 to determine if there is affiliation between the Applicant and the management company. The Applicant is not eligible if the management company is, or is affiliated with, the franchisor.
S0431|Country Inn & Suites by Radisson|Y|Y||Y|10/1/2017|If Applicant also operates under a management agreement with a third party, Lender/CDC must review the management agreement in accordance with SOP 50 10 to determine if there is affiliation between the Applicant and the management company. The Applicant is not eligible if the management company is, or is affiliated with, the franchisor.
S0432|Country Kitchen Restaurant|Y|Y||Y|10/1/2017|
S0325|COUNTRY PLACE LIVING/COUNTRY PLACE SENIOR LIV|Y|Y|Y|N|10/1/2017|
S5056|Country Waffles|Y|Y|Y|N|4/6/2020|
S5891|Country's Barbecue - Trademark Agreement|Y|Y|Y|N|9/1/2020|
S5967|Countywide Petroleum Company (Multi-Branded) Dealer Supply Agreement|Y|Y|Y|N|9/22/2020|Distributor may not file anything against the SBA Real Estate Collateral
S0433|Courtyard by Marriott|Y|Y||Y|10/1/2017|If Applicant also operates under a management agreement with a third party, Lender/CDC must review the management agreement in accordance with SOP 50 10 to determine if there is affiliation between the Applicant and the management company. The Applicant is not eligible if the management company is, or is affiliated with, the franchisor.
S0434|Cousins Maine Lobster|Y|Y||Y|10/1/2017|
S0435|Cousins Subs|Y|Y|Y|N|10/1/2017|If Applicant also operates under a management agreement with a third party, Lender/CDC must review the management agreement in accordance with SOP 50 10 to determine if there is affiliation between the Applicant and the management company. The Applicant is not eligible if the management company is, or is affiliated with, the franchisor.
S6547|Coverall North America, Inc. dba Coverall of Detroit - Janitorial Franchise Agreement|Y||||4/28/2021|Applicant Franchisees are only eligible if operating under the unit Janitorial Franchise Agreement. This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program
S5365|Coverall of North America, Inc. - Janitorial Franchise Agreement|Y||||5/1/2020|Applicant Franchisees are only eligible if operating under the unit Janitorial Franchise Agreement.  This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S2162|Cowboy Chicken|Y|Y||Y|10/1/2017|
S5375|Coyote Canyon|Y|Y|Y|N|5/2/2020|
S2369|CPR - Cell Phone Repair|Y|Y|Y|N|1/1/2018|
S4877|Crab Du Jour - Trademark License and Branding Agreement|Y|Y|Y|N|2/19/2020|
S4493|Crab Station|Y|Y|Y|N|8/27/2019|
S6372|Craft Axe Throwing|Y|Y|Y|N|2/25/2021|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Agreement with Landlord may not be executed.
S2163|Craft Beer Cellar|Y|Y||Y|10/1/2017|
S3771|Crafthouse|Y|Y|N|Y|12/11/2018|Only the negotiated addendum may be used.
S5734|CraigO's Pizza Pasta, Inc.|Y|Y|Y|N|7/17/2020|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Rider may not be executed.
S6546|Crain Oil Company, Inc. (Marathon) Exclusive  Services Agreement|Y|Y|Y|N|4/28/2021|Distributor may not file anything against the SBA Real Estate Collateral
|Crane Carrier Company - Distributor Agreement|N|N|||12/3/2020|
S0436|Cranium Academy|Y|Y|Y|N|10/1/2017|
S4171|Craters & Freighters|Y|Y|Y|N|5/7/2019|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Consent to Collateral Assignment & Agreement of Lessor may not be executed.
S6734|Crave Cookies|Y|Y|Y|N|7/22/2021|
S3368|Crave Hot Dogs and BBQ|Y|Y|Y|N|8/7/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Collateral Assignment of Lease and Consent to Collateral Assignment & Agreement of Lessor may not be executed.
S3460|Craving the Curls|Y|Y|Y|N|9/5/2018|When the real estate where the franchise business is located will secure the SBA‐guaranteed loan, the Lease Rider and Site Location Addendum may not be executed.
S4522|Crawlspace Medic|Y|Y|Y|N|9/10/2019|1. When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Collateral Assignment of Lease may not be executed. 2. Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with the SOP 50 10.
S3889|Crawlspace Ninja|Y|Y|Y|N|2/20/2019|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Collateral Assignment of Lease may not be executed.
S3988|Crazy Pita Rotisserie & Grill|Y|Y|Y|N|3/19/2019|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, neither the Lease Provisions nor the Collateral Assignment of Lease and Addendum to Lease may be executed
S2735|CRC Concrete Raising Company|Y|Y|Y|N|3/9/2018|
S2892|CREAM|Y|Y|Y|N|4/10/2018|When the real estate where the franchise business is located will secure the SBA‐guaranteed loan, the Collateral Assignment of Lease and Consent and Agreement of Lessor documents may not be executed.
S2164|Creamistry|Y|Y|Y|N|10/1/2017|
S6299|CREATIF|Y|Y|Y|N|2/5/2021|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10.
S0437|Creative Colors|Y|Y||Y|10/1/2017|
|Creative Motion Control - Sales Representative Agreement|N|N|||9/28/2020|
S5597|Creative Movement and Dance|Y|Y|Y|N|6/16/2020|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10.
S2165|Creative Playthings|Y|Y|Y|N|10/1/2017|
S0438|Creative World School|Y|Y|Y|N|10/1/2017|
S0327|CREATIVWORKS|Y|Y|Y|N|10/1/2017|
S6347|Creek Stone Academy|Y|Y|Y|N|2/18/2021|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Collateral Assignment of Tenant's Interest in Lease, Nondisturbance & Attornment Agreement, Subordination Agreement & Memorandum Option may not be executed.
S4932|Creme De La Creme Wellness|Y|Y|Y|N|3/10/2020|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Conditional Assignment may not be executed.
S3291|Creno's Pizza|Y|Y|Y|N|7/10/2018|
S3242|Crepe Delicious|Y|Y|Y|N|6/26/2018|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10.
S0439|CrepeMaker|Y|Y|Y|N|10/1/2017|
S0440|Crescendo--rebranded as VomFASS|Y|Y|Y|N|10/1/2017|
S0328|CRESCO MONTESSORI SCHOOL|Y|Y|Y|N|10/1/2017|
S2917|Crest Distributing Inc., (Shell) - Fuel Supply Agreement|Y|Y|Y|N|4/10/2018|Distributor may not file anything against the SBA Real Estate Collateral
S0441|Crestcom|Y|Y|Y|N|10/1/2017|
|Crestliner (Sales and Service Agreement)|N|N|||3/9/2018|
S4691|Crew Fitness|Y|Y|Y|N|11/13/2019|
|Cricket Wireless - Authorized Retailer Agreement|N|N|||7/23/2019|
|Cricket Wireless - Exclusive Dealer Agreement|N|N|||2/28/2018|
|Cricket Wireless Authorized Retailer Agreement|N|N|||9/10/2019|
S6379|Crimson Coward|Y|Y|Y|N|3/2/2021|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Conditional Lease Assignment may not be executed.
S5873|Crisp & Green|Y|Y|Y|N|8/19/2020|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Franchise Addendum to Lease Agreement may not be used.
S5854|Crisp Cuts & Styles|Y|Y|Y|N|8/13/2020|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Rider to Lease Agreement may not be executed.
S2832|Cristophe|Y|Y|Y|N|4/4/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Rider to Lease Agreement may not be executed
S2991|Criterium Engineers|Y|Y|Y|N|4/24/2018|
S0442|Critter Control|Y|Y|Y|N|10/1/2017|
S6029|CrockSpot|Y|Y|Y|N|10/14/2020|
|Crooked Can Brewery - Distribution Agreement|N|N|||11/14/2018|
S3672|Crooked Can Brewery - Licensing Agreement|Y|Y|Y|N|11/14/2018|
S3675|Crooked Pint Ale House|Y|Y|Y|N|11/14/2018|
S3501|Cross Petroleum (Multi-Brand) Product Sales Agreement|Y|Y|Y|N|9/10/2018|Distributor may not file anything against the SBA Real Estate Collateral.
|CrossFit - Affiliate Agreement|N|N|||10/1/2017|
S4545|Crossing Borders|Y|Y|Y|N|9/24/2019|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10.
S2450|Crossings by GrandStay|Y|Y|Y|N|1/17/2018|If Applicant also operates under a management agreement with a third party, Lender/CDC must review the management agreement in accordance with SOP 50 10 to determine if there is affiliation between the Applicant and the management company. The Applicant is not eligible if the management company is, or is affiliated with, the franchisor.
S6727|Crossroads Fuel Services, Inc. (BP) Petroleum Supply Agreement|Y|Y|Y|N|7/22/2021|Distributor may not file anything against the SBA Real Estate Collateral
S6180|Crowley Petroleum Distribution, Inc. (Shell) Retailer Product Sales Agreement (RPSA) (Shell Brand)|Y|Y|Y|N|12/22/2020|Distributor may not file anything against the SBA Real Estate Collateral
S0443|Crown Trophy|Y|Y||Y|10/1/2017|
S0444|Crowne Plaza|Y|Y||Y|10/1/2017|If Applicant also operates under a management agreement with a third party, Lender/CDC must review the management agreement in accordance with SOP 50 10 to determine if there is affiliation between the Applicant and the management company. The Applicant is not eligible if the management company is, or is affiliated with, the franchisor.
|Crownline - Dealership Agreement|N|N|||5/3/2021|
|Cruise America Dealer Agency Agreement|N|N|||7/16/2019|
S0329|CRUISE HOLIDAYS|Y|Y|Y|N|10/1/2017|
S5002|Cruise Planners|Y|Y|Y|N|4/2/2020|
S0445|CruiseOne / Dream Vacations|Y|Y||Y|10/1/2017|
S5339|Cruiser RV - Private Label Agreement|Y|Y|Y|N|4/28/2020|
|Cruiser RV - Sales and Service Agreement|N|N|||4/17/2020|
S0330|CRUISERS GRILL|Y|Y|Y|N|10/1/2017|
S4173|Cruisin' Tikis|Y|Y|N|Y|5/7/2019|Only the Negotiated Addendum may be used.
S4360|Crumbl|Y|Y|N|Y|7/8/2019|Only an SBA Negotiated Addendum may be used.
|Crump Insurance Services - Producer Agreement|N|N|||11/20/2018|
S0446|Crunch|Y|Y|Y|N|10/1/2017|
S0447|Crushed Red|Y|Y||Y|10/1/2017|
S5875|Crushr|Y|Y|Y|N|8/19/2020|
S3533|Crust Pizza Co.|Y|Y|Y|N|9/24/2018|
S5692|Crye*Leike|Y|N|||7/13/2020|
S4750|CryoFit|Y|Y|N|Y|12/17/2019|Only the SBA Negotiated Addendum may be used.
S4427|Cryoshift|Y|Y|Y|N|7/23/2019|Applicants operating as Area Representatives are not eligible for SBA-guaranteed loans.
|CSE Insurance Group/Civil Service Employees Ins Co./CSE Safeguard Ins. Co.  - Agency Agreement|N|N|||9/2/2021|
|CSI Lustra Distributor Agreement|N|N|||11/20/2018|
S2340|CTRL V|Y|Y|Y|N|1/1/2018|
|Cub Cadet - Dealer Agreement|N|N|||10/14/2020|
S6678|Cubes Storage LLC - Cubes Agreement|Y|Y|Y|N|6/24/2021|
S0448|Culligan|Y|Y||Y|10/1/2017|
S0449|Culver's ButterBurgers & Frozen Custard|Y|Y|Y|N|10/1/2017|
S3150|Cummins ONAN/Cummins Power Generation - Dealer Agreement|Y|Y|Y|N|5/29/2018|
S0450|Cuppy's Coffee|Y|Y|Y|N|10/1/2017|
S0331|CUPS FROZEN YOGURT|Y|Y|Y|N|10/1/2017|
S3837|Curb-Ease|Y|Y|N|Y|2/5/2019|Only the Negotiated Addendum may be used.
S4051|Curie Learning|Y|Y|Y|N|4/2/2019|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Rider to Lease may not be executed.
|Curotto-Can Dealer Agreement|N|N|||6/7/2019|
S3991|Currito Restaurant|Y|Y|Y|N|3/19/2019|
S2168|Curry Up Now|Y|Y|Y|N|10/1/2017|
S5207|Curves|Y||||4/17/2020|1. Lender/CDC must obtain an affidavit signed by Applicant that the business is open to both men and women and document their file with evidence that the facility is open to both men and women, such as appropriate bath/locker rooms, or documented membership demographics. Contact franchise@sba.gov for a template of the affidavit. 2. This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S4252|CutFinity|Y|Y|Y|N|6/7/2019|
S0452|CycleBar|Y|Y|Y|N|10/1/2017|
S4489|D and M Oil, LLC (Multiple Brands) Retail - Motor Fuel Purchase Contract (Independently Owned Stations)|Y|Y|Y|N|8/20/2019|Distributor may not file anything against the SBA Collateral Real Estate
S5526|D Pet Hotels|Y|Y|Y|N|5/28/2020|
S2632|D&D Energy Group (unbranded) Gasoline Supply Agreement|Y|Y|Y|N|2/21/2018|Distributor may not file anything against the SBA Real Estate Collateral
S0453|D'ANGELO'S GRILLED SANDWICHES/D' ANGELO DELI|Y|Y|Y|N|10/1/2017|
S4452|D'bos Wings N More|Y|Y|Y|N|8/6/2019|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Rider/Provisions may not be executed/required.
S5756|d'Lite Healthy On The Go|Y|Y|Y|N|7/22/2020|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Addendum may not be executed.
S0454|D-BAT|Y|Y|Y|N|10/1/2017|
S2539|D. Brian's Kitchen & Catering|Y|Y|Y|N|2/14/2018|
S6020|D.E.I. - Intellectual Property Protection and License Agreement|Y|Y|Y|N|10/8/2020|
S2976|D.F.W Oil & Energy LLC (Valero) Motor Fuel Supply Contract|Y|Y|Y|N|4/16/2018|Distributor may not file anything against the SBA Real Estate Collateral
S2977|D.F.W. Oil & Energy LLC (Shamrock) Motor Fuel Supply Contract|Y|Y|Y|N|4/16/2018|Distributor may not file anything against the SBA Real Estate Collateral
S2978|D.F.W. Oil & Energy LLC  (Chevron) Motor Fuel Supply Contract|Y|Y|Y|N|4/16/2018|Distributor may not file anything against the SBA Real Estate Collateral
S2974|D.F.W. Oil & Energy LLC  (Exxon) Motor Fuel Supply Contract|Y|Y|Y|N|4/16/2018|Distributor may not file anything against the SBA Real Estate Collateral
S2981|D.F.W. Oil & Energy LLC  (Shell) Motor Fuel Supply Contract|Y|Y|Y|N|4/16/2018|Distributor may not file anything against the SBA Real Estate Collateral
S2980|D.F.W. Oil & Energy LLC  (Sunoco) Motor Fuel Supply Contract|Y|Y|Y|N|4/16/2018|Distributor may not file anything against the SBA Real Estate Collateral
S2979|D.F.W. Oil & Energy LLC  (Texaco) Motor Fuel Supply Contract|Y|Y|Y|N|4/16/2018|Distributor may not file anything against the SBA Real Estate Collateral
S2975|D.F.W.Oil & Energy LLC (Mobil) Motor Fuel Supply Contract|Y|Y|Y|N|4/16/2018|Distributor may not file anything against the SBA Real Estate Collateral
S0456|D.P. Dough|Y|Y||Y|10/1/2017|
S2347|D1 Sports|Y|Y|Y|N|1/1/2018|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10.B 
S4664|Da Vinci Beauty & Wellness SPA|Y|Y|Y|N|11/5/2019|Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10.
S2899|Da Vinci's Donuts|Y|Y|Y|N|4/10/2018|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Addendum may not be executed.
S6765|DAE GEE|Y|Y|Y|N|8/12/2021|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Addendum and Collateral Assignment of Lease may not be executed.
S0486|Dagwood's Sandwich Shoppe|Y|Y|Y|N|10/1/2017|
S0457|DAILY GRIND|Y|Y|Y|N|10/1/2017|
S4648|Daily Jam|Y|Y|Y|N|10/29/2019|
S6318|"Dairy Queen Enterprises of New Jersey - ""Dairy Queen"" Store Agreement"" Store Agreement"|Y|Y|Y|N|2/10/2021|
S6317|"Dairy Queen Enterprises of New Jersey - ""the brazier"" Store Agreement"|Y|Y|Y|N|2/10/2021|
S3498|Dairy Queen Montana / North Dakota  DQ Grill & Chill Operating Agreement|Y|Y|Y|N|9/10/2018|
S4258|Dairy Queen of Las Vegas - Operating Agreement|Y|Y|Y|N|6/7/2019|
S4504|Dairy Queen of Mid Ohio Inc. - Dairy Queen Operating Agreement|Y|Y|Y|N|9/4/2019|
S5487|Dairy Queen of S.W. PA, Inc.  - DQ Grill & Chill Operating Agreement|Y|Y|Y||5/18/2020|
S6865|Dairy Queen of the Pacific Northwest  -  DQ Grill & Chill Operating Agreement|Y|Y|Y|N|9/23/2021|
S2349|Dairy Queen of the Pacific Northwest - Operating Agreement|Y|Y||Y|1/1/2018|
S3500|Dairy Queen of Utah, Inc. - DQ Grill & Chill Operating Agreement|Y|Y|Y|N|9/10/2018|
S4120|Dairy Queen of VA., Inc - Dairy Queen Operating Agreement|Y|Y|Y|N|4/16/2019|
S4121|Dairy Queen Operating Agreement|Y|Y|Y|N|4/16/2019|
S5344|Dairy Queen Stores of Spokane, Inc. - Operating Agreement|Y|Y|Y|N|4/29/2020|
S3194|Dairy Queen/Limited Brazier Operating Agreement|Y|Y|Y|N|6/5/2018|
S2171|Dale Carnegie|Y|Y|Y|N|10/1/2017|
S3609|Dale Petroleum Company - Term Supply Agreement|Y|Y|Y|N|10/23/2018|Distributor may not file anything against the SBA Real Estate Collateral
|Dame Wellness, Inc. - Non-exclusive License Agreement|N|N|||2/25/2021|
S6541|Damn Good Beer Bus|Y|Y|Y|N|4/28/2021|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Rider to Lease Agreement may not be executed.
S5972|Damon's|Y|Y|Y|N|9/22/2020|This brand is only eligible for loans under the Economic Injury Disaster Loans (EIDL) and will be listed only for the duration of the program.
S4572|Dangerously Delicious - License Agreement|Y|N|||10/1/2019|
S0458|DANIEL AHART TAX SERVICE|Y|Y|Y|N|10/1/2017|
S3350|Danielson Oil Company of Oklahoma - Motor Fuel Sales Agreement|Y|Y|Y|N|7/31/2018|Distributor will not file anything against the SBA Real Estate Collateral
S3536|Danny Edwards Boulevard BBQ - Trademark and Trade Secret Licensing Agreement|Y|N|||9/24/2018|
S5845|Danny's|Y|Y|Y|N|8/13/2020|
S0487|Daphne's California Greek|Y|Y|Y|N|10/1/2017|
S0459|DARIO'S|Y|Y|Y|N|10/1/2017|
S2657|Darrell Griffith License Agreement|Y|Y|Y|N|2/21/2018|
S4643|Dart'em Up|Y|Y|Y|N|10/29/2019|
S5603|Dash In|Y||||6/17/2020|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S0460|DATA DOCTORS|Y|Y|Y|N|10/1/2017|
S5336|Dave's Hot Chicken|Y|Y|N|Y|4/28/2020|Only the Negotiated Addendum may be used.  When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Addendum and the Collateral Assignment of Lease may not be executed.
S4707|Davenport Energy Inc. (Exxon) Petroleum Supply and Marketing Agreement|Y|Y|Y|N|11/19/2019|Distributor may not file anything against the SBA Real Estate Collateral
S6527|DaVi Nails|Y||||4/21/2021|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of the program.
S5748|David's Catfish House|Y|Y|Y|N|7/22/2020|
S6494|Davis Industries, Inc. (Mobil) - Supply Contract|Y|Y|Y|N|4/15/2021|Distributor may not file anything against the SBA Real Estate Collateral
S2172|Daylight Donut Shop|Y|Y|Y|N|10/1/2017|
S0488|Days Inn by Wyndham|Y|Y|Y|N|10/1/2017|If Applicant also operates under a management agreement with a third party, Lender/CDC must review the management agreement in accordance with SOP 50 10 to determine if there is affiliation between the Applicant and the management company. The Applicant is not eligible if the management company is, or is affiliated with, the franchisor.
|Daytona Karting Facilities - License Agreement|N|N|||4/4/2018|
S0461|DAZBOG COFFEE|Y|Y||Y|10/1/2017|
S4553|DC Pizza|Y|Y|Y|N|9/24/2019|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Rider to Lease Agreement may not be executed.
S0462|DCAP Insurance|Y|Y||Y|10/1/2017|
S3435|ddsmatch|Y|Y|Y|N|8/28/2018|
S4947|De Felice Bros. Pizza|Y|Y|Y|N|3/17/2020|
|De Smart Farm Mutual Insurance Company of South Dakota - Agency Contract|N|N|||1/21/2021|
S5673|Dead River Company (Shell) Retailer Product Sales Agreement (RPSA) For Shell Brand|Y|Y|Y|N|7/9/2020|Distributor may not file anything against the SBA Real Estate Collateral
S5423|Dealers Auto Auction|Y||||5/10/2020|This brand is only eligible for loans under the Paycheck Protection Program and will be listed only for the duration of that program.
S3082|Decadent Coffee and Dessert Bar (License Agreement)|Y|Y|Y|N|5/8/2018|
S4276|Deccan Spice - Trademark and Know-How License Agreement|Y|Y|Y|N|6/11/2019|
S2829|Deck Medic|Y|Y|Y|N|4/4/2018|
S0489|Deck The Walls|Y|Y|Y|N|10/1/2017|
S3292|Deckhand Detailing|Y|Y|Y|N|7/10/2018|When the real estate where the franchise business is located will secure the SBA‐guaranteed loan, the Collateral Assignment of Lease may not be executed.
S6159|DecoArmor|Y|Y|Y|N|12/16/2020|1. When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Rider may not be executed. 2. Lender/CDC must ensure they secure the appropriate lien position on all collateral in accordance with SOP 50 10.
S0490|Decor & You|Y|Y|Y|N|10/1/2017|
S0491|Decorating Den Interiors|Y|Y|Y|N|10/1/2017|
|Dee Zee, Inc. (Independent Sales Representative Agreement)|N|N|||7/17/2018|
S2667|Dee-O-Gee|Y|Y|Y|N|2/21/2018|
S2173|Define body & mind|Y|Y||Y|10/1/2017|
S6242|Dehn Oil Company (Minnoco) Dealer Supply Agreement|Y|Y|Y|N|1/21/2021|Distributor may not file anything against the SBA Real Estate Collateral
S0492|Deka Lash|Y|Y||Y|10/1/2017|
S0493|Del Taco|Y|Y||Y|10/1/2017|
S5497|Del's Lemonade|Y|Y|Y|N|5/20/2020|When the real estate where the franchise business is located will secure the SBA-guaranteed loan, the Lease Option and Three Party Lease Option may not be executed.
